x,y,Umbilicaria_decussata cloglog values
-2285926.96358424,891934.716240996,0.7038931
-2290073.84320192,905614.335817293,0.6126921
-2290888.66413929,918253.475245578,0.5886983
-2310889.20283209,918990.852538654,0.67415893
-2332226.42228327,1192441.67155438,0.54084957
-2437947.97048564,1186342.61404601,0.40726137
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2466872.10042162,1265288.1997946,0.3760162
-2503551.0216109,1218525.47002202,0.3514905
-2504774.95848793,1216680.1906665,0.3514905
-2470465.24923105,1341635.69563301,0.41251355
-2502744.1847028,1294529.73191326,0.26756766
-2524400.3517855,1289211.20212553,0.1212328
-2513957.05275252,1324100.82548781,0.24976853
-2500032.15726159,1389567.25276843,0.46869472
-2428094.60530231,1555591.34174238,0.645159
-2452603.47920882,1597397.82862471,0.56220305
-2601754.79761239,1467210.25300012,0.20282294
-2601498.68148936,1467664.32252641,0.18656668
-2604271.68776354,1465251.46901134,0.20282294
-2603496.23730889,1468791.26578778,0.24925713
-2603530.43022203,1472226.33313733,0.32653317
-2609261.00927066,1470243.0187208,0.42306194
-2612943.12457828,1466297.30537869,0.22295906
-2637142.22053082,1485074.72094761,0.3580545
-2637257.78256766,1486018.38973212,0.35250822
-2629291.85993771,1594350.95432252,0.23536141
-2638160.29845032,1588728.30762292,0.07437777
-1947951.1345343,768103.935955436,0.68566585
-1952193.54336681,772159.646010498,0.6814307
-1952065.5519824,772877.427039015,0.6814307
-2006918.4862261,1018182.83420008,0.83877444
-2437962.13598144,1533674.58662883,0.53699845
-2503551.0216109,1218525.47002202,0.3514905
-2651421.07832981,1461882.42450565,0.07122063
-2629291.85993771,1594350.95432252,0.23536141
-2628864.94687862,1607263.09928965,0.24570166
-1953398.84069274,774227.707190746,0.6814307
-2149428.99057318,565434.123810298,0.4746236
-1523323.89513088,566519.683654194,0.15513097
-2638160.29845032,1588728.30762292,0.07437777
-2649990.41394982,1466870.72188996,0.11833864
-2635923.7667323,1588071.11204761,0.079437405
-2445421.3658215,1457127.45448814,0.6230202
-2443122.76353586,1536655.01720342,0.5412203
-2457620.64051292,1593518.46531355,0.73175687
-2458972.03111232,1592607.32894605,0.7737456
-2460259.19549089,1594594.44584788,0.797823
-2466554.81248622,1590975.0322166,0.7345144
-2464291.43968807,1599107.48879386,0.81896585
-2465262.57705245,1599737.05971877,0.81896585
-2464815.50827519,1601390.4870103,0.8454915
-2465962.32168873,1599836.41366826,0.81896585
-2465624.88991117,1601617.71226252,0.8454915
-2442689.87437761,1661115.64464722,0.62760097
-2220214.45856151,940556.623124875,0.759414
-2285926.96358424,891934.716240996,0.7038931
-2290888.66413929,918253.475245578,0.5886983
-2310889.20283209,918990.852538654,0.67415893
-2327110.48288228,931728.196652567,0.7637682
-2285173.99325334,1187653.05848885,0.49667475
-2382438.39586142,1220324.06178006,0.5412045
-2453029.60954493,1190328.37000344,0.33803836
-2386549.97885482,1365131.10639869,0.8834435
-2649990.41394982,1466870.72188996,0.11833864
-2651621.60590745,1466721.82541937,0.11833864
-1867162.7757872,774549.774820007,0.6803303
-1824322.31380591,915125.391132192,0.43904856
-1874898.33411706,810304.624187902,0.5725226
-1880248.32863051,801642.102122726,0.68713075
-1900701.59319288,757149.674942628,0.70196813
-1838365.42598988,928862.415441118,0.523062
-1840544.78595043,991030.017111752,0.9330671
-1870480.61401148,944192.221396098,0.70146465
-1937013.62179646,974455.275376013,0.8655475
-1995129.70381721,1012707.27824026,0.8895682
-2084257.59572425,828606.940483649,0.7224314
-1994531.57004867,1032944.10395713,0.8562937
-2003726.37293032,1016511.91102774,0.8924424
-2003730.89476826,1016540.14871756,0.8924424
-2016456.06281409,998315.328993404,0.8296509
-2006918.4862261,1018182.83420008,0.83877444
-1432436.10393814,532517.019414768,0.1981521
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2456913.79421353,1494367.98906464,0.5823298
-2437962.13598144,1533674.58662883,0.53699845
-2463275.46204187,1561563.11000754,0.3510225
-2465624.88991117,1601617.71226252,0.8454915
-2442689.87437761,1661115.64464722,0.62760097
-2196790.82032094,926671.079541102,0.7398689
-2197709.18972422,926991.605353908,0.73410904
-2205508.1238483,934771.498940679,0.6871938
-2214972.26818934,930253.07422458,0.9661459
-2216582.41594148,939327.353154662,0.74484694
-2235182.3798632,938225.670425898,0.7541673
-2245507.80580756,943984.056104864,0.7297369
-2211031.95821039,1029277.26192909,0.776592
-2277068.01772189,902519.18509296,0.47699493
-2285926.96358424,891934.716240996,0.7038931
-2268927.17762605,939203.884285848,0.75790167
-2261517.33407193,957284.440556591,0.78670305
-2290073.84320192,905614.335817293,0.6126921
-2276132.97823141,945929.629352642,0.71028
-2290888.66413929,918253.475245578,0.5886983
-2273352.98975803,964981.092507093,0.81567943
-2310889.20283209,918990.852538654,0.67415893
-2337873.14159047,1176819.68942824,0.52602595
-2453029.60954493,1190328.37000344,0.33803836
-2466487.3166294,1196668.83529232,0.31847143
-2484338.74382934,1247840.54179949,0.3765868
-2503551.0216109,1218525.47002202,0.3514905
-2473030.60893744,1341963.19326396,0.38770312
-2524400.3517855,1289211.20212553,0.1212328
-2648491.47089057,1462863.16547308,0.09401532
-2640992.684782,1524937.63426868,0.08182405
-2629291.85993771,1594350.95432252,0.23536141
-2629604.83862387,1596939.55391197,0.14519763
-2638160.29845032,1588728.30762292,0.07437777
-2626369.49287429,1611430.00818627,0.26293528
-2629816.05657997,1618367.1846664,0.16582265
-2634217.69165432,1622475.83439706,0.19201876
-2619468.66640445,1824174.00120961,0.22855648
