x,y,Usnea_antarctica cloglog values
-2470465.24923105,1341635.69563301,0.6769184
-2502744.1847028,1294529.73191326,0.8014751
-2524400.3517855,1289211.20212553,0.26737383
-2513957.05275252,1324100.82548781,0.7008934
-2500032.15726159,1389567.25276843,0.67698795
-2428094.60530231,1555591.34174238,0.12443535
-2452603.47920882,1597397.82862471,0.7368451
-2601754.79761239,1467210.25300012,0.69389784
-2601498.68148936,1467664.32252641,0.63801867
-2604271.68776354,1465251.46901134,0.69389784
-2603496.23730889,1468791.26578778,0.7616756
-2603530.43022203,1472226.33313733,0.7044812
-2609261.00927066,1470243.0187208,0.69131273
-2612943.12457828,1466297.30537869,0.69232094
-2637142.22053082,1485074.72094761,0.7889358
-2637257.78256766,1486018.38973212,0.7816513
-2629291.85993771,1594350.95432252,0.29682645
-2638160.29845032,1588728.30762292,0.30953982
-1947951.1345343,768103.935955436,0.14637777
-1952193.54336681,772159.646010498,0.16537179
-1952065.5519824,772877.427039015,0.16537179
-2006918.4862261,1018182.83420008,0.021709755
-2437962.13598144,1533674.58662883,0.24681541
-2503551.0216109,1218525.47002202,0.6440998
-2651421.07832981,1461882.42450565,0.38692713
-2629291.85993771,1594350.95432252,0.29682645
-2628864.94687862,1607263.09928965,0.54947037
-1953398.84069274,774227.707190746,0.16537179
-2149428.99057318,565434.123810298,0.29944703
-1523323.89513088,566519.683654194,0.0017361531
-2638160.29845032,1588728.30762292,0.30953982
-2649990.41394982,1466870.72188996,0.5073991
-2635923.7667323,1588071.11204761,0.31899446
-2445421.3658215,1457127.45448814,0.26874483
-2443122.76353586,1536655.01720342,0.1763319
-2457620.64051292,1593518.46531355,0.3260696
-2458972.03111232,1592607.32894605,0.4365362
-2460259.19549089,1594594.44584788,0.3296193
-2466554.81248622,1590975.0322166,0.4086506
-2464291.43968807,1599107.48879386,0.57381415
-2465262.57705245,1599737.05971877,0.57381415
-2464815.50827519,1601390.4870103,0.7293219
-2465962.32168873,1599836.41366826,0.57381415
-2465624.88991117,1601617.71226252,0.7293219
-2442689.87437761,1661115.64464722,0.6179104
-2220214.45856151,940556.623124875,0.342513
