x,y,Acarospora_gwynnii cloglog values
-2290073.84320192,905614.335817293,0.121734716
-2276132.97823141,945929.629352642,0.1394063
-2290888.66413929,918253.475245578,0.08918529
-2428339.5132885,1154894.85972534,0.05950451
-2449434.10963524,1186664.35187042,0.021501733
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2503551.0216109,1218525.47002202,0.027973212
-2504774.95848793,1216680.1906665,0.027973212
-2515621.52500196,1211526.77893387,0.024914045
-2513957.05275252,1324100.82548781,0.11200476
-2500032.15726159,1389567.25276843,0.09769713
-2545237.59808135,1321847.80035175,0.06900196
-2604271.68776354,1465251.46901134,0.021912279
-2607587.71966267,1461515.21524767,0.017960005
-2608634.42311897,1462098.88580244,0.01878199
-2645529.55362801,1452606.88258285,0.026211552
-2648500.16999791,1461067.71910527,0.012149033
-2648491.47089057,1462863.16547308,0.013534269
-2651421.07832981,1461882.42450565,0.011684829
-2651624.69958499,1464983.36173534,0.01593421
-2651621.60590745,1466721.82541937,0.01593421
-2652629.9463987,1465538.74570681,0.01593421
-2627427.70878412,1531313.25936755,0.01887304
-2629427.25594084,1540849.75544135,0.017249204
-2649344.52964631,1508358.82544896,0.0075391405
-2635675.63774182,1568419.75396543,0.00974735
-2629291.85993771,1594350.95432252,0.008575621
-2635561.89938684,1584857.74699933,0.0151662575
-2638160.29845032,1588728.30762292,0.013334746
-2639659.80886563,1589204.4643681,0.013334746
-2637365.09347811,1593612.76585596,0.01509623
-2627913.74769357,1610602.12776021,0.023387277
-2628706.73933532,1612447.90796136,0.022625899
-2621368.94232242,1629399.54058098,0.022042414
-2629816.05657997,1618367.1846664,0.015139571
-2635673.498446,1621432.7671627,0.021261431
-2636355.25295379,1621284.55695559,0.021261431
-2619468.66640445,1824174.00120961,0.013482249
-1952193.54336681,772159.646010498,0.32106397
-1953398.84069274,774227.707190746,0.32106397
-2149428.99057318,565434.123810298,0.15478586
-2149417.60537442,565816.206393399,0.15478586
-1995129.70381721,1012707.27824026,0.6520971
-1550537.1587497,485198.684264048,0.71094954
-2437962.13598144,1533674.58662883,0.24291687
-2437947.97048564,1186342.61404601,0.052596338
-2453029.60954493,1190328.37000344,0.041676573
-2502744.1847028,1294529.73191326,0.14915207
-2428094.60530231,1555591.34174238,0.28998718
-2649990.41394982,1466870.72188996,0.01593421
-2631564.11727811,1817234.83115069,0.010620045
-2381876.45820721,1528961.39931374,0.38288137
-2442288.273793,1502914.76329392,0.28382763
-2439724.05614115,1509747.05595271,0.29448953
-2441383.586008,1511557.8483439,0.28479204
-2426692.98647384,1536185.03094775,0.29702273
-2429739.20693984,1546836.91034594,0.29273775
-2440565.63312605,1532151.34676087,0.24728277
-2445940.10128623,1534335.33308777,0.24285913
-2465962.32168873,1599836.41366826,0.13730694
-2465624.88991117,1601617.71226252,0.048610423
-2143900.93329888,892825.06500012,0.2019055
-2214972.26818934,930253.07422458,0.015604166
-2245507.80580756,943984.056104864,0.1480636
-2280543.88314427,880542.018061145,0.076099925
-2277068.01772189,902519.18509296,0.029048422
-2285926.96358424,891934.716240996,0.16689204
-2290073.84320192,905614.335817293,0.121734716
-2290888.66413929,918253.475245578,0.08918529
-2310889.20283209,918990.852538654,0.15788107
-2332226.42228327,1192441.67155438,0.1816411
-2437947.97048564,1186342.61404601,0.052596338
-2453029.60954493,1190328.37000344,0.041676573
-2466487.3166294,1196668.83529232,0.02642384
-2466872.10042162,1265288.1997946,0.1261721
-2503551.0216109,1218525.47002202,0.027973212
-2504774.95848793,1216680.1906665,0.027973212
